Sample	Type	Source	Nacid	xKit	Rep	Polymerase	Run	Primer	Station	Environment	Estuary	Tide	Date	Season	Year	microgAMBI	AMBI	AMBI.5y	MAMBI	MAMBI.5y	Redox	OM	Gravel	Sand	Mud	Cu	Pb	Ni	Cr	Zn	Mn	Fe	Hg	Cd	PON	TotalP	TOC	POC	TotalPCB	TotalPAH	TotalDDT	TotalHCH	PI	PI5yAvg	PI10yAvg	Redox5yAvg	Redox10yAvg	OM5yAvg	OM10yAvg	WaterO2	DO	pH	MaxDepthPM	PointDepthBM	Salinity	SalClass	Q1SiteSal	Q2SiteSal	Q3SiteSal	SolidosSusp	ChlA	Silicate	Nitrite	NH3	Turbidity	Nitrate	PO4	PlotName	IntRatio6y	PhytoStatus	Comp
EBI10_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EBI10	Estuarine	12 Bidasoa	BM	2018-02-05	Wi	2018	2.5073253292	3.317	3.675	1	0.852	54	4.8	9.53	36.13	54.34	147	604	64	143	968	230	25891	0.6	2.8	NA	NA	NA	NA	68	0	4	0	3.1554863147	2.547965248	NA	175.4	114.9	2.29	1.97	99.7	NA	NA	4	0	6.5	2	10.32	14.22	16.87	NA	NA	NA	NA	NA	NA	NA	NA	EBI10_S_Wi2018	NA	NA	1
EBI10_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EBI10	Estuarine	12 Bidasoa	BM	2019-01-23	Wi	2019	3.6268300987	NA	3.598	NA	0.863	1	2.35	16.51	74.4	9.09	126	694	37	114	723	222	28535	0.8	2.3	NA	NA	NA	NA	16.8	0	17.8	0	2.6867783509	2.577045032	NA	152.8	101.45	2.028	1.929	97.9	NA	NA	3.5	0	16.8	2	10.32	14.22	16.87	NA	NA	NA	NA	NA	NA	NA	NA	EBI10_S_Wi2019	NA	NA	1
EBI20_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EBI20	Estuarine	12 Bidasoa	BM	2013-01-29	Wi	2013	2.4843835284	1.722	2.676	0.713	0.716	479	0.56	0.84	98.93	0.23	86.5	192	37.9	42.5	191.5	593.2	48481	0.114	0.092	NA	0.0155	NA	NA	1.4	0	0	0	1.337	0.937	NA	319.3	246.9	1	0.92	96.7	NA	NA	4	0	20.3	3	13.66	17.95	22.45	NA	NA	NA	NA	NA	NA	NA	NA	EBI20_S_Wi2013	NA	NA	1
EBI20_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EBI20	Estuarine	12 Bidasoa	BM	2015-02-05	Wi	2015	1.2492162147	2.7	3.265	0.666	0.656	383	0.4	0.06	99.86	0.08	12.4	15.7	19.9	14.1	65.8	301	30854	0.021	0.107	NA	NA	NA	NA	0	0	0	0	0.453	0.832	NA	325.94	284.94	0.571	0.807	90.9	NA	NA	2.5	0	22.5	3	13.66	17.95	22.45	NA	NA	NA	NA	NA	NA	NA	NA	EBI20_S_Wi2015	NA	NA	1
EBI20_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EBI20	Estuarine	12 Bidasoa	BM	2017-02-01	Wi	2017	1.2439785133	2.517	2.881	0.89	0.692	396	0.47	0.04	99.45	0.51	15	44	17	29	100	552	27197	0	0.1	NA	NA	NA	NA	0	0	0	0	0.611	0.729	NA	395.2	334	0.53	0.78	91.6	NA	NA	4.5	0	26.6	3	13.66	17.95	22.45	NA	NA	NA	NA	NA	NA	NA	NA	EBI20_S_Wi2017	NA	NA	1
EBI20_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EBI20	Estuarine	12 Bidasoa	BM	2018-02-05	Wi	2018	1.2104322973	1.633	2.863	0.81	0.718	340	0.4	0.04	99.65	0.31	0	22	12	19	70	361	17080	0.06	0	NA	NA	NA	NA	0	0	0	0	0.377	0.537	NA	367.4	343.4	0.5	0.75	99.5	NA	NA	5	0	13.7	3	13.66	17.95	22.45	NA	NA	NA	NA	NA	NA	NA	NA	EBI20_S_Wi2018	NA	NA	D
EBI20_S_Wi2018RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	EBI20	Estuarine	12 Bidasoa	BM	2018-02-05	Wi	2018	1.5167265519	1.633	2.863	0.81	0.718	340	0.4	0.04	99.65	0.31	0	22	12	19	70	361	17080	0.06	0	NA	NA	NA	NA	0	0	0	0	0.377	0.537	NA	367.4	343.4	0.5	0.75	99.5	NA	NA	5	0	13.7	3	13.66	17.95	22.45	NA	NA	NA	NA	NA	NA	NA	NA	EBI20_S_Wi2018RNA	NA	NA	R
EBI20_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EBI20	Estuarine	12 Bidasoa	BM	2019-01-23	Wi	2019	1.1512849427	1.503	2.35	NA	0.808	327	0.42	0.51	99.21	0.28	14	34	16	28	64	223	20016	0	0.07	NA	NA	NA	NA	0	0	0	0	0.528214379	0.528	NA	368.8	332.03	0.458	0.724	99.1	NA	NA	4	0	18	3	13.66	17.95	22.45	NA	NA	NA	NA	NA	NA	NA	NA	EBI20_S_Wi2019	NA	NA	1
ED05_S_Su2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED05	Estuarine	07 Deba	BM	2017-08-11	Su	2017	2.3010458411	NA	4.217	NA	0.574	NA	5.7358490566	0	60.38	39.62	200	68	107	209	823	NA	NA	0.22	1.2	NA	NA	NA	NA	300.3	2127	0	0	3.15	2.231	NA	11.4	-30.2	3.12	3.89	69.5	NA	NA	2	0	10.8	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Su2017	NA	NA	D
ED05_S_Su2017RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	ED05	Estuarine	07 Deba	BM	2017-08-11	Su	2017	1.3307274701	NA	4.217	NA	0.574	NA	5.7358490566	0	60.38	39.62	200	68	107	209	823	NA	NA	0.22	1.2	NA	NA	NA	NA	300.3	2127	0	0	3.15	2.231	NA	11.4	-30.2	3.12	3.89	69.5	NA	NA	2	0	10.8	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Su2017RNA	NA	NA	R
ED05_S_Su2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED05	Estuarine	07 Deba	BM	2018-08-20	Su	2018	3.0036452005	NA	3.863	NA	0.629	-122	9.1594827586	0	28.37	71.63	66	43	51	81	487	287	31854	0.17	0.6	NA	NA	NA	NA	32.6	722	1.5	1	1.941	2.182	NA	4.2	-30.1	3.46	3.8	73.5	NA	NA	2.5	0	6.4	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Su2018	NA	NA	1
ED05_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED05	Estuarine	07 Deba	BM	2013-02-26	Wi	2013	4.2187975261	5.09	4.12	0.439	0.565	119	3	0	51.27	48.73	75.8	69.5	79.4	77.2	384.8	363.2	34846	0.077	0.264	0.11	0.05425	NA	2	83.6	1334	0	0	2.2089178257	2.2543731283	NA	-64.3	-56.9	4.15	4.76	99.7	NA	NA	2.5	0	0.2	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2013	NA	NA	D
ED05_S_Wi2013RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	ED05	Estuarine	07 Deba	BM	2015-02-04	Wi	2013	4.7082086025	5.09	4.12	0.439	0.565	119	3	0	51.27	48.73	75.8	69.5	79.4	77.2	384.8	363.2	34846	0.077	0.264	0.11	0.05425	NA	2	83.6	1334	0	0	2.2089178257	2.2543731283	NA	-64.3	-56.9	4.15	4.76	99.7	NA	NA	2.5	0	0.2	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2013RNA	NA	NA	R
ED05_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	ED05	Estuarine	07 Deba	BM	2015-02-04	Wi	2015	3.229749831	3.536	3.946	0.677	0.565	-128	2.8	0.02	85.12	14.86	86.1	52.6	59.5	66.8	431.2	303	43888	0.156	0.346	NA	NA	NA	NA	110.6	0	0	0	2.0457561549	2.1979296612	NA	-74.34	-44.85	3.979	4.057	95.9	NA	NA	2.5	0	0.2	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2015	NA	NA	1
ED05_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED05	Estuarine	07 Deba	BM	2016-01-27	Wi	2016	2.9975140411	5.306	4.185	0.498	0.531	-61	2.9	0	63.01	36.99	83	50	55	98	450	491	37813	0.13	0.4	NA	NA	NA	NA	7.5	0	0	0	1.7400755672	2.1581297254	NA	-74.2	-56.5	3.44	4.02	91	NA	NA	2	0	6.2	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2016	NA	NA	D
ED05_S_Wi2016RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	ED05	Estuarine	07 Deba	BM	2016-01-27	Wi	2016	3.5789257472	5.306	4.185	0.498	0.531	-61	2.9	0	63.01	36.99	83	50	55	98	450	491	37813	0.13	0.4	NA	NA	NA	NA	7.5	0	0	0	1.7400755672	2.1581297254	NA	-74.2	-56.5	3.44	4.02	91	NA	NA	2	0	6.2	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2016RNA	NA	NA	R
ED05_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED05	Estuarine	07 Deba	BM	2017-02-09	Wi	2017	3.8734780307	3.315	4.217	0.761	0.574	188	2.66	0.12	82.19	17.69	65	65	47	70	279	567	27312	0.06	0.39	NA	NA	NA	NA	21.5	0	0	0	1.6869960276	2.0471169809	NA	11.4	-30.2	3.12	3.89	110.4	NA	NA	1.5	0	8.9	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2017	NA	NA	D
ED05_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	ED05	Estuarine	07 Deba	BM	2017-02-09	Wi	2017	4.1854920773	3.315	4.217	0.761	0.574	188	2.66	0.12	82.19	17.69	65	65	47	70	279	567	27312	0.06	0.39	NA	NA	NA	NA	21.5	0	0	0	1.6869960276	2.0471169809	NA	11.4	-30.2	3.12	3.89	110.4	NA	NA	1.5	0	8.9	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2017	NA	NA	R
ED05_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED05	Estuarine	07 Deba	BM	2018-01-18	Wi	2018	3.2613770936	3.321	3.863	0.668	0.629	83	4.7	0	61.82	38.18	71	39	58	78	408	553	40508	0.11	0.39	NA	NA	NA	NA	250.1	0	0	0	2.1560427213	2.2222000389	NA	4.2	-30.1	3.46	3.8	100.4	NA	NA	1.5	0	0.2	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2018	NA	NA	D
ED05_S_Wi2018RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	ED05	Estuarine	07 Deba	BM	2018-01-18	Wi	2018	3.7264096992	3.321	3.863	0.668	0.629	83	4.7	0	61.82	38.18	71	39	58	78	408	553	40508	0.11	0.39	NA	NA	NA	NA	250.1	0	0	0	2.1560427213	2.2222000389	NA	4.2	-30.1	3.46	3.8	100.4	NA	NA	1.5	0	0.2	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2018RNA	NA	NA	R
ED05_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	ED05	Estuarine	07 Deba	BM	2019-02-20	Wi	2019	3.1673764906	NA	3.87	NA	0.647	-66	5.74	0	40.67	59.33	47	67	34	73	194	267	31088	0.11	0.33	NA	NA	NA	NA	32.4	0	0	0	1.7162495811	2.0624019112	NA	3.2	-32.27	3.76	3.95	92.4	NA	NA	4.5	0	5.5	1.5	0.2	6.19	8.91	NA	NA	NA	NA	NA	NA	NA	NA	ED05_S_Wi2019	NA	NA	1
ED10_S_Su2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED10	Estuarine	07 Deba	BM	2017-08-11	Su	2017	1.8622231967	NA	3.586	NA	0.723	NA	3.3061399742	2.437	12.217	85.346	123	46	73	130	477	NA	NA	0.15	0.9	NA	NA	NA	NA	47	1217	0	0	2.391	2.033	NA	212.4	67.8	2.3	3.12	94.8	NA	NA	3.5	0	27.4	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Su2017	NA	NA	1
ED10_S_Su2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED10	Estuarine	07 Deba	BM	2018-08-20	Su	2018	1.4663320786	NA	3.7	NA	0.725	401	1.3993003498	0.28	98.27	1.45	36	40	35	65	217	450	30024	0.07	0.3	NA	NA	NA	NA	10.1	298	1.5	1	1.258	1.806	NA	185	110	2.15	2.74	81.2	NA	NA	3.5	0	21.3	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Su2018	NA	NA	1
ED10_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED10	Estuarine	07 Deba	BM	2013-02-26	Wi	2013	3.9227370282	2.543	3.165	0.772	0.716	512	1.85	0.22	97.49	2.29	121.2	93.2	113.2	111.7	430	671.3	36241	0.141	0.454	0.156	0.07285	NA	3	44.9	1102.3	0	0	2.3173235451	2.2415364902	NA	34.9	-25.9	3.33	3.3	97.4	NA	NA	4.5	0	16.7	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Wi2013	NA	NA	1
ED10_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	ED10	Estuarine	07 Deba	BM	2015-02-04	Wi	2015	3.6916945348	4.624	3.38	0.673	0.753	173	3.3	0.15	92.02	7.82	81.6	57.1	52	56.1	242.5	563	48571	0.092	0.205	NA	NA	NA	NA	98.5	0	0	0	1.8872013614	2.1963257921	NA	69.12	29.98	2.906	3.277	71.2	NA	NA	3	0	32.6	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Wi2015	NA	NA	Poly
ED10_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	ED10	Estuarine	07 Deba	BM	2016-01-27	Wi	2016	1.9399552526	3.914	3.755	0.715	0.713	283	1.1	0.38	98.93	0.69	56	38	48	84	227	628	49173	0.08	0.4	NA	NA	NA	NA	14	0	0	0	1.4276333478	2.0780416712	NA	111	42.6	2.63	3.18	83	NA	NA	6.5	1.5	18.1	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Wi2016	NA	NA	1
ED10_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED10	Estuarine	07 Deba	BM	2017-02-09	Wi	2017	2.6183816184	3.191	3.586	0.777	0.723	176	1.85	0.18	95.01	4.81	34	41	31	52	159	450	36065	0	0.18	NA	NA	NA	NA	41	0	0	0	1.3122580208	1.96196545	NA	212.4	67.8	2.3	3.12	82.3	NA	NA	2.5	0	20.3	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Wi2017	NA	NA	D
ED10_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	ED10	Estuarine	07 Deba	BM	2017-02-09	Wi	2017	3.0224032587	3.191	3.586	0.777	0.723	176	1.85	0.18	95.01	4.81	34	41	31	52	159	450	36065	0	0.18	NA	NA	NA	NA	41	0	0	0	1.3122580208	1.96196545	NA	212.4	67.8	2.3	3.12	82.3	NA	NA	2.5	0	20.3	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Wi2017	NA	NA	R
ED10_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	ED10	Estuarine	07 Deba	BM	2018-01-18	Wi	2018	2.8761274532	3.115	3.7	0.774	0.725	375	1.1	1.9	97.28	0.82	63	43	55	71	275	589	41732	0.42	0.24	NA	NA	NA	NA	5.5	0	0	0	1.4980661445	1.896949228	NA	185	110	2.15	2.74	84.1	NA	NA	2.5	0	5.8	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Wi2018	NA	NA	1
ED10_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	ED10	Estuarine	07 Deba	BM	2019-02-20	Wi	2019	2.921891437	2.955	3.711	NA	0.733	359	1.58	0	28.16	71.84	58	47	45	82	319	258	29268	0.13	0.26	NA	NA	NA	NA	4	0	0	0	1.4464371238	1.6029646006	NA	273.2	153.26	1.786	2.398	100.2	NA	NA	5	0	21.3	3	18.62	20.77	25.9	NA	NA	NA	NA	NA	NA	NA	NA	ED10_S_Wi2019	NA	NA	1
EL05_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EL05	Estuarine	05 Lea	PM	2013-01-23	Wi	2013	2.7062907079	3.189	3.179	0.95	0.862	160	8.52	5.27	35.53	59.2	81.6	34.1	34.1	38.9	145.3	341.7	28195	0.989	0.091	0.211	NA	NA	3.1	38.1	15864	1.6	0	2.3664362325	1.6743773708	NA	161.5	130.4	7.5	9.87	105	NA	NA	4.5	0	0.2	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2013	NA	NA	1
EL05_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EL05	Estuarine	05 Lea	BM	2015-02-03	Wi	2015	2.5479825872	3.083	3.319	0.849	0.828	-3	5.4	17.07	17.15	65.79	64.2	38.7	26	27.2	114.1	213	35274	0.31	0.147	NA	NA	NA	NA	13.1	0	0	0	1.347831297	1.6806563245	NA	133.08	118.62	6.522	8.662	89.2	NA	NA	2.5	0	5.9	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2015	NA	NA	1
EL05_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EL05	Estuarine	05 Lea	BM	2016-01-26	Wi	2016	3.0061060525	3.693	3.38	0.876	0.853	226	5.9	0.5	37.34	62.16	77	37	26	45	149	116	27941	0.2	0.2	NA	NA	NA	NA	19.8	0	0	0	1.5069259113	1.6336698934	NA	150.5	150.8	6.04	7.67	99.5	NA	NA	1.5	0	0.8	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2016	NA	NA	1
EL05_S_Wi2017A	S	S	DNA	DNA-RNA	A	HF	201812	519..806D	EL05	Estuarine	05 Lea	PM	2017-02-13	Wi	2017	2.184463497	3.637	3.394	0.891	0.857	161	6.91	0.31	36.16	63.53	81	38	23	36	164	191	21014	0.18	0.22	NA	NA	NA	NA	12.2	0	0	0	1.4449124371	1.6513383543	NA	129.8	144.7	6.18	7.24	98.4	NA	NA	1	0	8.5	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2017	NA	NA	D
EL05_S_Wi2017B	S	S	DNA	DNA-RNA	B	HF	201904	519..806D	EL05	Estuarine	05 Lea	BM	2017-02-13	Wi	2017	2.1818181818	3.637	3.394	0.891	0.857	161	6.91	0.31	36.16	63.53	81	38	23	36	164	191	21014	0.18	0.22	NA	NA	NA	NA	12.2	0	0	0	1.4449124371	1.6513383543	NA	129.8	144.7	6.18	7.24	98.4	NA	NA	1	0	8.5	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2017	NA	NA	1
EL05_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	EL05	Estuarine	05 Lea	BM	2017-02-13	Wi	2017	2.2412451362	3.637	3.394	0.891	0.857	161	6.91	0.31	36.16	63.53	81	38	23	36	164	191	21014	0.18	0.22	NA	NA	NA	NA	12.2	0	0	0	1.4449124371	1.6513383543	NA	129.8	144.7	6.18	7.24	98.4	NA	NA	1	0	8.5	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2017	NA	NA	R
EL05_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EL05	Estuarine	05 Lea	PM	2018-01-17	Wi	2018	2.1984234846	3.402	3.437	0.882	0.845	162	4.7	21.62	33.3	45.08	79	39	29	42	133	136	27087	0.22	0.17	NA	NA	NA	NA	6.2	0	0	0	1.3691683091	1.3517838836	NA	130.2	145.9	5.42	6.46	106.5	NA	NA	1.5	0	0.1	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2018	NA	NA	D
EL05_S_Wi2018RNA	S	S	RNA	DNA-RNA	1	HF	201909	519..806D	EL05	Estuarine	05 Lea	BM	2018-01-17	Wi	2018	2.2827952595	3.402	3.437	0.882	0.845	162	4.7	21.62	33.3	45.08	79	39	29	42	133	136	27087	0.22	0.17	NA	NA	NA	NA	6.2	0	0	0	1.3691683091	1.3517838836	NA	130.2	145.9	5.42	6.46	106.5	NA	NA	1.5	0	0.1	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2018RNA	NA	NA	R
EL05_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EL05	Estuarine	05 Lea	PM	2019-01-21	Wi	2019	2.2676400319	NA	3.454	NA	0.874	-26	7.38	0.18	33.21	66.61	59	32	22	46	97	121	21632	0.16	0.09	NA	NA	NA	NA	5.4	0	0	0	1.2832685192	1.3904212947	NA	104	137.86	6.058	6.449	104.7	NA	NA	0.5	0	17.5	1.5	0.34	4.61	8.46	NA	NA	NA	NA	NA	NA	NA	NA	EL05_S_Wi2019	NA	NA	1
EL10_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EL10	Estuarine	05 Lea	PM	2013-01-23	Wi	2013	1.9094587966	3.658	3.22	0.83	0.864	296	1.24	0.06	96.66	3.28	33.6	56	36.7	32.9	90.6	487.2	47699	0.248	0.077	0.096	NA	NA	1.7	0	179	0	0	1.0220882537	1.0250517229	NA	323	281.5	1.61	1.33	102.2	NA	NA	4.5	0	0.3	2.5	6.13	18.16	25.16	NA	NA	NA	NA	NA	NA	NA	NA	EL10_S_Wi2013	NA	NA	1
EL10_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EL10	Estuarine	05 Lea	BM	2015-02-03	Wi	2015	2.587104897	3.289	3.467	1	0.876	228	2.8	0	96.31	3.69	18.7	21.7	23	22.3	59.9	354	34669	0.207	0.145	NA	NA	NA	NA	0	0	0	0	0.8332960638	1.0226527123	NA	271.58	273.23	2.207	1.804	93.8	NA	NA	3	0	10.8	2.5	6.13	18.16	25.16	NA	NA	NA	NA	NA	NA	NA	NA	EL10_S_Wi2015	NA	NA	1
EL10_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EL10	Estuarine	05 Lea	BM	2016-01-26	Wi	2016	1.5583911801	2.224	3.482	0.862	0.849	402	1	0.25	98.91	0.84	24	28	18	31	82	425	34081	0.17	0.07	NA	NA	NA	NA	0	0	0	0	0.7185780944	0.9664684528	NA	281.8	298.8	2.12	1.8	93.7	NA	NA	3	0	18.2	2.5	6.13	18.16	25.16	NA	NA	NA	NA	NA	NA	NA	NA	EL10_S_Wi2016	NA	NA	1
EL10_S_Wi2017	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EL10	Estuarine	05 Lea	PM	2017-02-13	Wi	2017	2.3394404556	4.342	3.609	0.72	0.814	319	1.52	0.28	98.45	1.28	24	31	21	32	97	546	45390	0.18	0.13	NA	NA	NA	NA	0	0	0	0	0.8373073414	0.9339838594	NA	275	296.8	2.18	1.84	81.6	NA	NA	3.5	0	25.2	2.5	6.13	18.16	25.16	NA	NA	NA	NA	NA	NA	NA	NA	EL10_S_Wi2017	NA	NA	D
EL10_S_Wi2017RNA	S	S	RNA	DNA-RNA	1	HF	201904	519..806D	EL10	Estuarine	05 Lea	BM	2017-02-13	Wi	2017	2.4282083863	4.342	3.609	0.72	0.814	319	1.52	0.28	98.45	1.28	24	31	21	32	97	546	45390	0.18	0.13	NA	NA	NA	NA	0	0	0	0	0.8373073414	0.9339838594	NA	275	296.8	2.18	1.84	81.6	NA	NA	3.5	0	25.2	2.5	6.13	18.16	25.16	NA	NA	NA	NA	NA	NA	NA	NA	EL10_S_Wi2017	NA	NA	R
EL10_S_Wi2018	S	S	DNA	DNA-RNA	1	HF	201812	519..806D	EL10	Estuarine	05 Lea	PM	2018-01-17	Wi	2018	1.9748546155	4.143	3.7062	0.843	0.818604322	282	1.1	0.04	97.96	2	32	43	18	28	85	193	29604	0.6	0.11	NA	NA	NA	NA	5.5	0	0	0	0.984927616	1.0320173415	NA	272.2	297.6	2.16	1.88	99.1	NA	NA	2	0	1.5	2.5	6.13	18.16	25.16	NA	NA	NA	NA	NA	NA	NA	NA	EL10_S_Wi2018	NA	NA	1
EL10_S_Wi2019	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EL10	Estuarine	05 Lea	PM	2019-01-21	Wi	2019	1.6820486815	2.686	3.5	NA	0.855	41	3.08	0.67	83.94	15.4	22	31	20	34	71	170	23399	0.17	0.19	NA	NA	NA	NA	1.1	0	0	0	0.9298813426	0.8607980916	NA	254.4	273.92	1.9	2.072	106	NA	NA	1	0	32.8	2.5	6.13	18.16	25.16	NA	NA	NA	NA	NA	NA	NA	NA	EL10_S_Wi2019	NA	NA	1
EM05_S_Wi2013	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EM05	Estuarine	01 Barbadun	PM	2013-02-07	Wi	2013	3.1375212224	3.634	3.687	0.839	0.674	265	5.74	11.56	86.1	2.34	51.8	46.2	30.4	27.5	134.8	902	51623	0.099	0.112	0.184	0.02015	NA	2.6	6.3	322	0	0	1.2828504973	1.2656066451	NA	101.8	76.4	3.8	5.06	102.6	NA	NA	2.5	0	0.1	2	0.17	8.1	17.83	NA	NA	NA	NA	NA	NA	NA	NA	EM05_S_Wi2013	NA	NA	1
EM05_S_Wi2015	S	S	DNA	DNA-RNA	1	HF	201909	519..806D	EM05	Estuarine	01 Barbadun	BM	2015-03-04	Wi	2015	3.103127506	3.489	3.76	0.699	0.654	20	4.5	0.57	81.13	18.3	48.1	47.1	29.4	26.8	172.9	752	51280	0.077	0.583	NA	NA	NA	NA	7.1	0	0	0	1.3158824693	1.3677820536	NA	80.7	76.733	4.464	5.08	103	NA	NA	2.5	0	0.16	2	0.17	8.1	17.83	NA	NA	NA	NA	NA	NA	NA	NA	EM05_S_Wi2015	NA	NA	1
EM05_S_Wi2016	S	S	DNA	DNA-RNA	1	HF	201904	519..806D	EM05	Estuarine	01 Barbadun	BM	2016-01-14	Wi	2016	3.0748599559	3.224	3.79	0.742	0.661	259	4.5	0.37	62.48	37.15	54	37	28	38	177	995	44106	0.14	0.29	NA	NA	NA	NA	0	0	0	0	1.2733452199	1.3789325978	NA	110	101.8	4.78	5.11	78.3	NA	NA	2	0	23.3	2	0.17	8.1	17.83	NA	NA	NA	NA	NA	NA	NA	NA	EM05_S_Wi2016	NA	NA	1
