"","AMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"MA-28-I98C",41.98,0,0,47.13,0,0,0
"Desulfobacteraceae",75.38,76.65,75.39,70.21,75.25,76.04,82.4
"Desulfobulbaceae",63.88,71.7,68.74,63.66,71.63,70.66,76.83
"Desulfarculaceae",0,78.23,79.58,77.33,75.19,63.97,72.57
"Syntrophaceae",84.98,93.89,85.68,86.77,92.86,75.36,75.33
"Syntrophobacteraceae",70.66,70.35,77.28,71.74,66.4,80.64,66.42
"Oligoflexaceae",60.13,0,86.41,0,0,0,0
"0319-6G20",69.04,67.65,65.94,0,0,66.24,58.21
"Ca. Tenderia family incertae sedis",60.68,69.29,62.15,60.59,0,50.57,0
"Ruminococcaceae",92.27,81.98,86.12,80.04,78.43,80.96,78.04
"Lachnospiraceae",67.86,83.19,75.04,75.65,70.11,76.54,71.95
"Clostridiales vadinBB60 group",55.1,57.38,69.18,62.49,58.69,65.54,59.72
"Christensenellaceae",61.36,84.22,85.82,72.48,82.21,81.47,80.43
"Peptostreptococcaceae",0,0,0,0,56.43,66.71,61.79
"Family XI (Clostridiales)",41.11,0,41.35,0,0,49.23,0
"Peptococcaceae",73.25,69.92,71.88,71.57,66.08,68.67,61.38
"Syntrophomonadaceae",0,94.24,84.53,95.04,99.16,0,0
"Defluviitaleaceae",57.61,57.59,57.73,53.28,48.35,59.53,59.29
"Family XII (Clostridiales)",0,0,47.09,0,0,0,52.11
"P. palm C-A 51",51.21,53.93,45.94,48.71,46.71,65.25,44.78
"Clostridiales Incertae Sedis",0,0,0,0,0,0,0
"TSAC18",0,0,0,0,0,0,0
"GoM-GC232-4463-Bac1",0,50.7,52.41,51.28,52.79,57.46,54.35
"livecontrolB21",0,33.05,37.94,29.51,34.24,33.71,30
"Streptococcaceae",45.86,34.21,40.7,35.69,35.97,0,0
"Carnobacteriaceae",0,34.65,39.43,30.15,60.22,53.2,59.76
"Acidaminococcaceae",42.47,0,0,0,0,45.25,0
"Acholeplasmataceae",0,30.62,41.24,27.05,28.66,31.44,29.62
"Synechococcaceae",0,0,59.98,0,0,0,0
"Pseudoanabaenacea",35.01,59.91,71.74,49.32,37.45,42.5,27.51
"Cyanobacteriaceae",27.4,62.71,78.68,38.55,22.32,34.99,18.07
"Micrococcaceae",0,0,0,0,60.25,62.93,70.25
"Microbacteriaceae",66.16,76.72,91.16,70.68,59.84,70.69,60.8
"Intrasporangiaceae",63.57,69.18,70.13,73.73,65.77,68.96,0
"Beutenbergiaceae",50.2,29.29,33.84,28.79,33.12,28.31,0
"Sporichthyaceae",38.48,30.65,0,0,36.49,43.78,48.62
"Propionibacteriaceae",65.18,59.03,60.27,60.47,59.03,0,57.07
"Nocardioidaceae",71.06,75.33,73.84,76.23,81.33,72.77,77.79
"Elev-16S-1332",68.52,73.57,72.74,67.21,77.51,74.64,74.53
"0319-6M6",0,0,0,0,0,0,0
"TM146",0,0,59.37,0,0,0,0
"Acidimicrobiaceae",67.73,76.45,71.76,65.23,73.32,72.67,72.9
"Sva0996 marine group",82.85,81.86,83.33,79.16,84.13,87.88,89.3
"OM1 clade",77.09,70.41,72.11,71.79,73.23,78.91,79.48
"Coriobacteriaceae",79.33,72.75,71.06,69.46,69.49,83.13,73.89
"Euzebyaceae",65.11,65.26,58.79,62.53,59.52,61.76,54.32
"Nitriliruptoraceae",55.52,64.61,77.72,63.25,58.89,68.97,52.71
"Anaerolineaceae",64.97,67.69,65.55,68.28,65.68,69.46,70.03
"Roseiflexaceae",0,0,0,0,0,8.47,0
"Caldilineaceae",0,59.23,0,0,59.34,58.73,56.39
"Trueperaceae",63.69,76.8,71.62,82.95,61.31,80.86,73.34
"Fimbriimonadaceae",55.32,0,63.92,0,0,56.56,0
"Spirochaetaceae",0,69.24,67.96,67.31,60.47,77.87,73.3
"Leptospiraceae",62.03,65.95,65.72,74.25,71.68,73.57,73.68
"Planctomycetaceae",60.12,65.35,64.21,64.42,65.4,64.5,65.69
"Phycisphaeraceae",78.24,74.57,77.37,67.16,71.51,76.82,80.25
"AKAU3564 sediment group",0,68.97,45.44,50.06,67.01,42.21,40.79
"Puniceicoccaceae",0,0,0,0,71.47,74.12,72.11
"Opitutaceae",45.78,0,0,46.39,39.26,46.46,0
"Verrucomicrobiaceae",91.44,79.1,79.01,75.3,78.53,77.16,0
"Rubritalecea",0,0,58.3,0,0,0,0
"DEV007",70.82,70.34,69.87,64.72,68.09,71.09,68.49
"DA101 soil group",76.08,0,81.82,0,0,70.66,0
"MVP-94",48.93,55.47,56.07,51.11,52.22,66.85,60.57
"Lentisphaeraceae",63.95,0,47.85,30.47,0,0,0
"BD2-3",44.15,53.27,55.87,0,57.33,62.03,63.2
"Arctic95B-14",78.73,72.67,46.1,84.83,49.33,58.35,65.63
"Arcobacteraceae",0,0,0,0,0,0,0
"Thiovulaceae",33.57,37.03,34.71,30.26,35.17,37.49,41.23
"Sulfurovaceae",79.66,19.44,14.6,14.89,14.86,20.38,11.11
"H16",0,65.87,63.91,64.82,63.65,0,61.99
"G55",0,65.44,57.81,57.53,69.29,59.58,66.54
"Synergistaceae",57.4,77.86,68.9,79.19,63.04,53.2,50.36
"Blastocatellaceae",0,67.25,0,63.33,65.89,0,90.91
"Acidobacteriaceae",62.73,70.19,64.73,0,0,60.38,0
"Holophagaceae",61.97,0,0,0,0,48.92,0
"Sva0725",79.54,74.21,77.24,75.39,76.28,84.72,85.74
"ABS-19",0,65.96,0,0,63.71,68.8,88.46
"NS72",80.35,68.08,70.73,78.35,62.59,66.3,75.56
"CA002",78.19,79.11,80.54,70.77,78.4,84.45,82.58
"TK85",78.32,62.69,65.65,72.07,61.74,83.06,75.98
"Acanthopleuribacteraceae",0,0,0,0,0,0,0
"PAUC26f",65.23,59.17,57.97,0,59.63,59.82,59.38
"GOUTB8",0,27.27,30.16,31.94,29.68,0,0
"Nitrospinaceae",41.6,44.74,39.4,77.06,59.12,47.74,47.62
"ODP1230B8.23",0,0,0,0,0,0,0
"Nitrospiraceae",73.86,0,0,0,0,75.28,0
"FW13",0,48.44,0,0,53.25,58.61,58.38
"ANME-1b",0,35.67,36.03,48.78,38.79,38.94,30.36
"Ca. Nitrosopumilus family incertae sedis",49.19,44.52,62.67,38.92,56.96,58.88,43.72
"Pedobacter",66.05,0,0,0,0,0,0
"Mucilaginibacter",48.51,0,0,0,0,36.48,0
"Solitalea",48.25,0,0,36.66,37.78,0,0
"Roseivirga",0,0,0,0,0,0,0
"Marinoscillum",50.83,53.57,64.15,55,61.56,0,50.83
"Candidatus Amoebophilus",52.16,56.47,58.53,50.74,56.42,62.82,54.07
"Fulvivirga",47.56,0,61.64,59.84,0,0,0
"Reichenbachiella",53.28,0,53.54,0,0,43.41,0
"Marivirga",0,19.1,24.43,16.89,19.39,29.98,0
"Fabibacter",19.12,0,36.47,26.67,0,0,0
"Ekhidna",70.33,61.8,62.68,70.82,57.66,69.08,56.51
"Spirosoma",0,0,0,0,0,38.65,0
"Ohtaekwangia",50.63,0,0,0,0,45.81,0
"Dyadobacter",62.12,0,0,0,0,60.47,0
"Flectobacillus",40.54,0,0,0,0,0,34.46
"Leadbetterella",70.03,0,0,0,57.89,0,51.41
"Cytophaga",57.04,0,0,0,46.64,0,0
"Chryseolinea",82.17,0,78.81,0,0,74.81,0
"Emticicia",51.59,0,0,0,0,41.5,0
"Arcicella",58.93,0,0,0,0,0,0
"Hymenobacter",65.12,0,0,0,0,49.01,0
"Pontibacter",46.24,51.9,42.05,58.96,46.61,66.05,41.51
"Algoriphagus",86.97,0,0,0,80.69,71.82,75.42
"Paludibacter",77.7,0,0,0,70.33,68.86,0
"Proteiniphilum",0,0,0,0,0,0,0
"Microbacter",71.53,0,57.84,0,0,64.21,64.97
"Petrimonas",0,0,0,0,0,38.4,0
"Macellibacteroides",62.41,0,59.43,0,0,63.8,63.39
"Bacteroides",61.7,0,0,0,0,0,0
"Prevotella 9",45.09,0,33.78,0,0,0,0
"Marinifilum",0,67.74,50.28,0,44.8,0,69.87
"Saccharicrinis",0,52.14,59.4,0,55.98,59.84,58.48
"[Cytophaga] xylanolytica group",69.87,0,0,0,0,66.77,0
"Carboxylicivirga",73.47,65.85,69.45,57.19,63.04,73.42,71.29
"Prolixibacter",66.05,0,53.99,0,0,70.62,66.33
"BSV13",48.61,0,0,0,0,56.17,56.75
"Alistipes",0,0,0,0,0,0,0
"Rikenellaceae RC9 gut group",0,32.39,0,35.17,0,0,46.33
"vadinBC27 wastewater-sludge group",45.85,0,0,0,0,43.45,0
"Blvii28 wastewater-sludge group",47.08,0,0,0,42,47.32,0
"Acetobacteroides",37.17,0,0,0,0,0,0
"Draconibacterium",73.4,79.21,79.53,90.19,73.5,88.13,84.83
"Chryseobacterium",72.02,0,59.73,0,0,62.93,0
"Flavobacterium",87.4,0,0,0,71.56,0,0
"Tenacibaculum",20.18,25.92,26.77,28.48,0,0,0
"Lutibacter",90.62,0,90.46,0,0,77.39,72.28
"Gillisia",0,37.4,35.61,30.15,40.3,34.38,43.4
"Psychroflexus",0,17.47,19.17,19.25,0,0,0
"Maribacter",68.16,0,66.24,0,59.96,72.61,61.31
"Ulvibacter",74.08,67.05,68.96,63.54,65.68,74.99,66.16
"NS5 marine group",57.16,0,0,0,0,0,0
"Winogradskyella",43.9,45.57,53.17,51.59,50.76,0,0
"Arenibacter",0,39.02,37.6,0,36.82,0,38.9
"Eudoraea",77.49,0,55.79,0,0,64.05,0
"Gramella",44.49,44.23,48.03,38.54,61.01,53.06,39.49
"Aureisphaera",64.35,76.27,91.59,65.78,47.68,97.86,0
"Aquibacter",65.11,72.21,74.36,71.22,69.6,81.13,74.19
"Maritimimonas",0,0,0,0,0,70.21,80.46
"Cloacibacterium",65.04,0,0,0,0,0,0
"Pseudofulvibacter",45.74,36.61,43.44,39.87,0,0,0
"Actibacter",75.07,67.48,68.57,0,76.71,77.26,84.57
"Gaetbulibacter",0,57.61,63.43,60.93,63.31,53,0
"Robiginitalea",60.51,78.37,77.24,61.68,78.8,0,79.16
"Dokdonia",30.39,35.66,35.73,28.59,30.78,31.14,25.77
"Mariniflexile",0,0,0,0,0,0,46.91
"Zeaxanthinibacter",63.53,80.33,70.15,75.59,65.37,83.61,77.62
"Sediminicola",0,27.35,30.96,18.54,40.46,42.25,40.32
"Lutimonas",0,68.22,69.88,78.3,82.07,75.65,76.6
"Gilvibacter",50.59,49.61,71.56,46.1,39.88,54.58,41.7
"Ornithobacterium",0,44.12,42.64,47.98,45.82,0,39.57
"Hoppeia",0,62.06,72.96,61.59,72.96,0,65.66
"Jejudonia",32.14,39.54,56.82,35.67,37.39,39.02,32.73
"Muriicola",74.7,67.25,77.43,65.3,74.45,89.06,75.46
"Aureitalea",25.07,53.77,82.78,42.22,30.14,47.23,21.61
"Schleiferia",77.41,67.43,68.2,76.9,66.43,74.49,62.36
"Fluviicola",0,0,62,64,65.56,0,0
"Crocinitomix",88.93,60.51,62.58,67.28,0,0,60.05
"Salinirepens",0,75.45,66.58,60.08,71.73,0,0
"Phaeodactylibacter",0,81.35,77.2,72.1,80.1,61.63,66.84
"Haliscomenobacter",62.71,0,0,0,0,55.35,0
"Portibacter",76.58,79.88,82.62,77.66,78.25,80.04,77.39
"Lewinella",77.14,90.75,84.85,67.03,79.89,74.45,70.45
"Aureispira",56.19,54.31,66.77,68.19,46.73,47.19,52.22
"Flavihumibacter",74.9,73.77,72.03,60.83,0,68.85,0
"Sediminibacterium",48.2,43.21,43.42,44.64,45.06,0,0
"Ferruginibacter",75.81,0,81.36,0,64.7,66.69,0
"Terrimonas",67.68,0,0,0,56.55,71.17,0
"Chitinophaga",59.82,0,0,51.69,54.1,61.82,0
"Filimonas",55.97,0,0,0,45.36,48.35,0
"Niastella",41.47,0,0,0,0,0,0
"Dinghuibacter",86.63,84.43,77.2,83.4,0,76.09,67.04
"Balneola",0,65.42,64.6,41.09,29.83,44.57,24.32
"Gracilimonas",20.73,28.1,36.92,33.65,20.16,0,0
"Gemmatimonas",65.93,0,71.77,0,0,61.95,0
"Fibrobacter",0,0,0,0,0,0,0
"Caldithrix",0,62.06,0,58.3,60.59,0,63.91
"Ca. Latescibacter",60.24,66.73,68.57,60.16,70.56,70.19,74.85
"Ignavibacterium",75.05,0,0,0,61.9,0,0
"Sphaerotilus",46.88,24.75,27.23,0,0,31.93,28
"Acidovorax",50.22,48.8,0,47.02,45.15,0,38.31
"Hydrogenophaga",49.02,42.88,46.63,46.84,0,0,0
"Comamonas",69.02,0,0,57.93,56.09,0,0
"Limnohabitans",56.81,56.94,0,58.43,0,0,52.6
"Polaromonas",66.05,0,0,0,0,0,0
"Leptothrix",58.16,0,0,0,0,0,40.65
"Pelomonas",0,0,0,0,0,0,0
"Inhella",36.34,0,0,0,0,34.09,0
"Ralstonia",0,0,0,0,0,0,0
"Limnobacter",0,0,0,0,52.74,66.87,52.1
"Lautropia",50.89,55.19,48.47,49.86,0,51.46,0
"Massilia",68.6,0,0,0,55.53,0,61.2
"Azoarcus",0,41.72,0,0,54.79,54.72,58.46
"Dechloromonas",54.77,0,0,0,0,46.67,0
"Methyloversatilis",43.93,36.82,37.7,0,37.58,40.93,36.76
"Thauera",65.06,0,0,0,0,57.91,0
"Sulfuritalea",62.2,0,0,0,47.83,57.24,0
"Candidatus Accumulibacter",89.08,84.79,86.36,0,0,67.21,0
"Uliginosibacterium",56.05,0,0,49.12,48.2,50.14,0
"Zoogloea",67.67,0,0,0,0,55.49,0
"Denitratisoma",43.22,0,39.83,0,0,42.34,0
"Propionivibrio",67.28,0,0,0,0,59.84,0
"Georgfuchsia",36.6,0,0,0,0,40.21,0
"Ferribacterium",52.35,0,0,0,48.15,0,0
"Nitrosomonas",70.05,63.99,68.59,0,73.08,80.75,79.94
"Thiobacillus",80.61,0,77.12,0,0,0,0
"Ferritrophicum",0,0,0,0,60.76,0,0
"Leeia",50.25,0,0,0,0,0,0
"Uruburuella",43.47,37.89,43.42,0,40.97,40.97,40.91
"Deefgea",45.81,35.59,0,35.48,32.76,0,0
"Formivibrio",31.79,0,0,0,25.19,25.5,0
"Methylotenera",0,71.34,85.42,82,62.1,69.07,64.07
"Chitinivorax",0,0,0,0,0,0,0
"Mesorhizobium",0,0,0,0,0,0,0
"Pseudahrensia",74.48,0,69.59,0,0,74.66,0
"Oricola",0,67.17,63.66,0,62.26,63.74,58.47
"Ahrensia",47.94,66.2,86.76,61.15,48.74,59.05,47.41
"Cohaesibacter",87.23,58.17,66.06,54.25,55.66,72.98,79.45
"Bradyrhizobium",54.63,68.84,58.65,0,0,60.36,0
"Bosea",63.78,54.07,42.75,0,0,0,0
"Rhizobium",66.41,68.86,0,0,0,60.19,0
"Hyphomicrobium",0,0,0,0,0,0,63.07
"Devosia",0,0,0,0,0,0,0
"Rhodomicrobium",0,0,49.95,48.32,42.78,53.14,61.69
"Rhodoplanes",52.27,0,0,0,0,0,0
"Pedomicrobium",0,0,0,0,60.23,0,75.01
"Filomicrobium",78.7,63.11,64.47,67.49,62.78,75.05,70.94
"Pseudolabrys",41.89,0,0,0,0,0,0
"Variibacter",0,0,0,0,0,0,0
"Afifella",67.23,67.93,80.38,74.37,67.72,79.46,63.09
"Anderseniella",72.3,64.21,69.29,64.34,63.16,61.93,58.67
"Methyloceanibacter",56.21,0,58.16,69.21,0,45.92,0
"Rhizomicrobium",61.52,0,0,0,0,60.72,0
"Bauldia",0,60.27,64.3,56.69,60.95,0,80.99
"Nordella",63.07,0,0,0,0,63.55,0
"Rickettsia",0,0,0,0,0,0,0
"Paracoccus",71.3,60.23,62.06,63.69,0,61.09,58.4
"Sulfitobacter",65.73,63.9,64.76,70.85,49.76,64.36,48.27
"Loktanella",0,0,0,0,0,0,0
"Labrenzia",0,42.46,54.36,46.38,42.93,0,0
"Rhodobacter",77.04,0,76.99,73.04,0,70.61,0
"Pseudorhodobacter",0,0,0,0,0,0,0
"Aestuariivita",0,12.2,9.86,23.36,0,10.66,0
"Oceaniovalibus",0,35.4,39.09,32.55,38.22,0,0
"Defluviimonas",78.1,0,0,62.28,61.44,74.93,60.81
"Roseovarius",60.98,55.05,68.49,73.53,55.5,74.85,50.4
"Rubellimicrobium",63.15,46.07,56.28,47.52,0,44.63,0
"Sedimentitalea",0,59.25,70.69,54.13,59.01,36.72,59.2
"Halocynthiibacter",21.75,0,0,0,23.52,0,0
"Albimonas",0,0,0,0,0,44.06,0
"Albirhodobacter",67.13,0,0,0,0,0,0
"Ketogulonicigenium",0,71.47,69.65,0,67.42,69.24,63.34
"Roseobacter",48.78,61.74,58.82,55.8,57.78,59.46,49.41
"Palleronia",51.87,72.52,58.88,69.55,35.55,50.4,42.82
"Dinoroseobacter",43.53,0,0,0,47.74,0,45.81
"Sphingomonas",67.98,77.92,88.23,75.91,0,67.91,0
"Novosphingobium",90.81,0,0,0,67.23,71.89,0
"Sphingobium",63.98,0,0,0,0,59.32,0
"Sphingopyxis",89.36,0,0,0,65.11,65.1,0
"Zymomonas",58.16,0,59.38,0,0,56.59,0
"Sphingorhabdus",0,72.88,74.91,0,78.03,71.38,77.62
"Polymorphobacter",66.05,71.18,68.8,0,0,62.51,0
"Sphingomicrobium",57.73,59.39,66.01,60.46,65.93,67.85,58.6
"Parasphingopyxis",78.64,90.57,91.33,90.21,63.17,85.3,60.44
"Rhizorhapis",61.37,0,0,0,0,51.05,0
"Erythrobacter",66.23,64.27,69.65,60.6,66.58,66.94,71.59
"Altererythrobacter",0,65.43,0,60.22,63.18,69.98,62.47
"Tistlia",15.12,36.61,12.79,24.04,18.92,32.72,16.77
"Terasakiella",0,0,0,0,36.13,44.54,40.83
"Magnetospira",67.79,65.88,64.44,70.42,0,64.95,63.49
"Pelagibius",82.37,67.21,73.76,64.53,69.82,75.71,73.13
"Magnetovibrio",0,57.27,76.36,58.61,0,0,59.51
"Defluviicoccus",0,0,0,0,62.96,67.24,0
"Roseomonas",64.72,77.66,73.9,78.35,0,75.07,64.7
"Reyranella",66.62,83.06,81.77,0,0,74.14,62.19
"Candidatus Alysiosphaera",0,61,61.89,68.2,0,0,0
"Phenylobacterium",63.29,76.01,68.75,74.33,0,67.83,0
"Brevundimonas",86.22,0,0,0,66.59,0,57.45
"Caulobacter",64.01,0,0,0,0,50.11,0
"Hyphomonas",0,0,0,0,0,0,0
"Woodsholea",88.87,0,0,0,0,71.95,0
"Hirschia",74.98,0,85.04,0,0,70.05,0
"Sneathiella",46.37,56.37,47.09,66.65,54.64,43.8,52.41
"Emcibacter",0,63.5,53.05,48.63,48.63,48.13,53.37
"Pseudomonas",75.97,0,0,0,0,70.75,0
"Acinetobacter",84.92,0,73.64,0,0,0,0
"Psychrobacter",0,0,0,0,0,0,0
"Alkanindiges",77.45,0,0,0,68.57,0,0
"Perlucidibaca",48.91,0,0,0,0,39.46,0
"[Agitococcus] lubricus group",71.42,0,0,0,66.81,0,0
"Moritella",0,0,28.05,0,30.04,0,51.03
"Paramoritella",29.01,0,41.97,31.77,0,0,0
"Pseudoalteromonas",44.51,0,42.68,40.26,0,0,39.55
"Glaciecola",0,29.48,34.07,0,0,0,0
"Paraglaciecola",56.92,48.54,47.93,52.19,53.87,42.4,45.21
"Marinobacter",49.16,43.73,46.35,54.36,48.61,56.21,38.11
"Shewanella",64.87,61.69,68.46,70.15,54.5,57,0
"Psychrobium",46.64,31.37,47.65,0,0,0,13.31
"Thalassotalea",70.28,69.67,62.78,57.25,0,0,0
"Colwellia",65.66,0,0,0,0,0,0
"Psychromonas",0,0,0,0,0,0,51.96
"Thiothrix",0,74.11,69.63,0,66.07,66,58.85
"Leucothrix",0,0,0,0,0,0,0
"Beggiatoa",0,0,0,0,0,0,0
"Cocleimonas",40.38,0,39.19,0,0,67.7,0
"Thiomargarita",0,14.28,18.2,0,18.46,24.99,19.55
"Thiomicrospira",0,43.77,46.17,0,40.05,37.05,0
"endosymbionts",0,72.13,72.22,76.84,74.17,65.84,77.16
"Acidibacter",70.78,78.49,79.04,0,0,77.46,0
"Candidatus Competibacter",85.35,78.3,67.6,0,0,72.71,75.57
"Steroidobacter",67.06,0,0,0,0,55.63,0
"Stenotrophomonas",56.89,0,55.31,0,0,47.16,46.06
"Pseudoxanthomonas",63.63,68.01,63.62,66.76,0,65.65,57.99
"Aquimonas",0,36.71,33.34,33.24,35.81,0,31.29
"Arenimonas",80.69,87.2,88.6,0,0,73.65,0
"Luteibacter",0,0,0,0,0,0,0
"Dokdonella",64.94,68.63,53.76,0,0,62.65,58.55
"Polycyclovorans",0,39.43,0,34.07,41.9,32.96,0
"Arenicella",75.55,69.52,91.58,76.5,61.13,76.72,56.85
"Oleiphilus",0,0,0,0,0,63.04,67.2
"Gynuella",13.27,0,0,0,0,0,0
"Halomonas",53.76,0,0,0,54.75,51.78,0
"Alcanivorax",0,54.1,49.08,53.55,53.97,53.76,51.18
"Kangiella",82.45,0,0,0,0,0,0
"Marinobacterium",69.03,52.86,59.62,54.19,50.1,0,53.02
"Marinomonas",0,0,0,0,0,0,0
"Thalassolituus",0,0,0,0,0,0,0
"Pseudohongiella",67,0,62.69,0,60.69,64.86,0
"Reinekea",64.23,0,0,51.34,0,0,0
"Oceanospirillum",0,15.25,34.86,0,19.53,0,51.64
"Neptunomonas",0,0,0,0,31.19,0,0
"Oceanobacter",0,0,0,0,0,0,0
"Oleispira",0,45.16,48.58,0,42.47,0,38.11
"Corallomonas",32.13,43.48,31.96,34.7,29.55,69.76,23.03
"Oceaniserpentilla",60.04,0,0,44.64,0,0,0
"Motiliproteus",69.12,61.54,60.33,59.1,63.97,56.93,58.97
"Endozoicomonas",0,34.45,30,0,33.82,0,0
"Vibrio",56.51,0,0,0,60.44,52.59,66.6
"Photobacterium",74.15,77.64,0,0,52.71,0,60.42
"Thiohalocapsa",37.93,43.39,51.38,52.29,0,0,0
"Rheinheimera",0,61.05,51.7,59.69,61.37,0,51.38
"Thiocapsa",0,26.93,43.8,0,28.38,0,0
"Lamprocystis",65.53,63.66,60.6,63.97,63.7,61.53,67.2
"Thiohalobacter",20.24,0,21.53,0,15.23,19.15,24.87
"Thiogranum",67.37,0,0,0,60.93,59.78,0
"Thioalkalispira",0,0,0,0,77.98,0,0
"Granulosicoccus",78.62,71.38,79.16,74.23,75.83,81.8,81.4
"Aeromonas",55.7,0,0,0,53.13,0,0
"Oceanisphaera",44.07,50.86,39.56,37.59,32.88,68.12,33.39
"Legionella",0,0,0,0,0,0,0
"Coxiella",61.33,0,60.58,0,0,0,0
"Aquicella",0,52.73,61.32,54.4,50.12,0,71.97
"Rickettsiella",0,0,0,0,0,0,0
"Congregibacter",0,0,0,0,0,0,14.6
"Halioglobus",0,0,0,0,0,83.35,69.93
"Haliea",0,67.47,66.04,0,75.68,70.12,75.82
"OM60(NOR5) clade",0,64.21,0,0,60.97,65.43,60.04
"Parahaliea",0,66.34,64.65,72.21,75.4,71.21,77.13
"Marimicrobium",54.17,0,0,0,0,0,0
"Cellvibrio",72.83,0,0,69.04,69.41,59.11,0
"Simiduia",80.68,71.01,68.34,59.69,69.27,0,0
"Candidatus Endobugula",44.14,47.99,67.11,47.55,45.3,0,41.96
"SAR92 clade",0,68.58,0,65.98,0,0,0
"Porticoccus",0,70.1,80.03,0,57.3,62.63,66.21
"C1-B045",62.53,71.34,70.94,70.71,68.62,65.15,74.37
"Microbulbifer",29.72,41.49,43.41,31.74,0,38.44,34.83
"Dasania",0,56.95,46.6,46.75,52.52,44.7,53.29
"BD1-7 clade",57.9,68.18,66.04,70.14,64.55,56.99,59.92
"Methylomonas",68.34,0,0,0,0,0,0
"Methylobacter",57.09,0,0,0,0,0,0
"Methylomarinum",46.29,0,0,0,31.13,86.41,34.93
"Crenothrix",65.47,0,0,50.79,54.09,55.73,0
"Sulfurifustis",0,0,0,0,0,64.48,0
"Sedimenticola",0,0,0,0,0,0,0
"Marinicella",69.92,0,73.64,0,0,70.36,0
"Thiolapillus",0,38.75,0,0,31.53,0,57.06
"Thiohalophilus",82.43,0,0,0,0,58.53,0
"Thioprofundum",49.88,0,0,0,28.59,0,0
"Desulfovibrio",62.87,70.1,65.73,77.34,64.04,74.18,64.63
"Desulfomicrobium",62.67,61.62,57.43,0,0,66.43,60.06
"Deferrisoma",0,0,0,0,0,0,61.59
"Peredibacter",0,0,0,0,0,63.19,68.34
"Halobacteriovorax",0,58.56,53.69,48.48,60.34,48.36,57.64
"Bacteriovorax",54.64,0,0,0,49.19,0,0
"Bdellovibrio",0,0,0,0,0,0,0
"OM27 clade",0,64.16,64.19,63.99,59.17,64.35,61.82
"Anaeromyxobacter",66.5,0,0,0,0,0,70.63
"Sandaracinus",57.48,65.44,68.04,69.25,62.65,63.92,64.41
"Sorangium",61.85,0,0,0,0,0,0
"Polyangium",51.97,0,0,0,0,0,0
"Aetherobacter",34.87,0,0,0,26.54,0,0
"Enhygromyxa",0,0,0,0,19.51,0,0
"Nannocystis",47.99,0,55.73,0,54.09,51.93,53.41
"Pseudenhygromyxa",20.91,0,0,0,0,0,20.51
"Haliangium",0,56.5,57.43,57.68,57.18,57.8,57.63
"Phaselicystis",85.5,78.22,70.96,76.71,0,74.44,72.17
"Geobacter",77.63,0,0,0,0,79.46,0
"Geopsychrobacter",0,53.52,45.4,59.6,0,56.14,0
"Geothermobacter",0,73.73,70.15,71.61,65.87,67.21,72.77
"Desulfuromusa",0,70.46,72.49,72.3,69,77,0
"Pelobacter",0,45.62,54.97,43.65,43.81,0,0
"Desulfuromonas",0,0,85.87,78.03,0,86.47,0
"Desulfobacter",60.27,66.31,80.83,65.28,70.25,66.46,72.8
"Desulfosarcina",76.67,65.55,62.18,65.2,69.86,0,66.43
"Desulfococcus",75.41,77.47,73.46,70.25,76.82,75.38,84.37
"Desulfatitalea",0,62.54,56.51,58.29,58,57.95,65.96
"Sva0081 sediment group",68.13,0,66.38,0,0,0,0
"Desulforegula",0,0,0,0,0,15.92,0
"Desulfatirhabdium",67.82,63.9,58.34,60.83,61.57,74.5,67.07
"Desulfatiferula",33.86,33.74,33.93,34.58,0,41.99,37.52
"SEEP-SRB1",0,66.58,0,0,63.72,68.27,72.47
"Desulfobacterium",54.95,67.44,70.14,61.68,62.97,68.68,70.41
"Desulfofaba",0,53.76,66.04,43.92,63.77,43.92,56.74
"Desulfoconvexum",88.98,88.05,75.35,80.18,69.15,72.35,76.97
"Desulfonema",68.48,25.14,25.78,0,28.67,28.35,28.09
"Desulfobulbus",0,70.33,69.81,64.73,72.92,71.84,73.85
"MSBL7",0,78.4,79.9,77.59,85.09,0,0
"Desulfurivibrio",0,0,0,0,0,71.29,66.48
"[Desulfobacterium] catecholicum group",57.58,0,0,0,0,55.39,0
"Desulforhopalus",76.54,65.2,80.95,0,70.56,70.52,80.69
"Desulfopila",0,73.5,74.18,66.59,73.76,72.8,74.11
"SEEP-SRB4",70.36,71.67,79.19,69.26,72.78,74.08,77.12
"Desulfocapsa",0,81.76,85.68,78.19,80.33,0,0
"Desulfofustis",13.49,14.9,13.66,15.91,0,0,0
"Desulfatiglans",0,74.22,72.46,71.83,73.25,73.27,79.58
"Smithella",58.09,77.7,69.69,69.37,84.14,60.29,55.86
"Desulfobacca",0,0,0,0,0,0,0
"Syntrophus",53.47,0,0,0,0,58.61,0
"Syntrophobacter",0,0,0,0,0,0,0
"Pseudobacteriovorax",32.29,0,36.87,33.75,0,0,0
"Mariprofundus",0,60.66,61.94,55.18,56.34,59.87,67.4
"Ca. Tenderia",58.71,0,0,0,0,49.61,0
"Ruminococcaceae UCG-002",53.08,46.86,47.31,43.41,48.07,44.85,45.77
"Faecalibacterium",61.9,53.54,57.48,0,52.55,56.51,51.39
"Ruminococcaceae UCG-005",0,0,0,0,0,0,52.44
"Ruminococcus 2",49.92,47.76,51.26,45.27,46.19,0,0
