"","AMBI","microgAMBI","PI","PI5yAvg","piMetals","piHC","piOM","Redox"
"Tritia.nitida",NA,NA,3.852,3.402,3.47695706503649,4.86247666459241,NA,NA
"Tritia.pygmaea",NA,NA,2.2215,2.808,3.47695706503649,4.86247666459241,NA,-118.5
"Tritia.reticulata",NA,NA,2.2215,2.3385,1.93480594673092,2.1303225598373,NA,-137.5
"Tubulanus.polymorphus",NA,NA,3.852,3.402,3.52434514331092,4.86247666459241,4.365625,-118.5
"Upogebia.deltaura",NA,NA,NA,NA,NA,NA,NA,NA
"Upogebia.pusilla",NA,NA,NA,NA,NA,NA,NA,NA
"Upogebia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Urothoe.brevicornis",NA,NA,NA,NA,NA,NA,NA,NA
"Urothoe.grimaldii",NA,NA,NA,NA,NA,NA,NA,NA
"Urothoe.pulchella",NA,NA,NA,NA,NA,NA,NA,NA
"Urothoe.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Venerida",NA,NA,NA,NA,NA,NA,NA,NA
"Veneridae",NA,NA,NA,NA,NA,NA,NA,NA
"Venus.casina",NA,NA,NA,NA,NA,NA,NA,NA
"Virgularia.sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Vitreolina.philippi",NA,NA,NA,NA,NA,NA,NA,NA
"Xenostrobus.securis",NA,NA,NA,NA,NA,NA,NA,NA
